,id,query,label,index,tokens
22,22,نحوه ی پخت قرمه سبزی را توضیح بده.,5,22,"['نحوه\u200cی', 'پخت', 'قرمه', 'سبزی', 'توضیح', 'بده']"
23,23,طبقه دوم گرم کن داره؟,2,23,"['طبقه', 'دوم', 'گرم', 'کن', 'داره']"
24,24,چند واحد می تونم هر ترم انتخاب کنم؟,1,24,"['واحد', 'می\u200cتونم', 'ترم', 'انتخاب', 'کنم']"
25,25,اتاق بازی و فوتبال دستیو برگردونید.,4,25,"['اتاق', 'بازی', 'فوتبال', 'دستیو', 'برگردونید']"
26,26,استاد محمدی رفتار بسیار محترمانه ای با دانشجو دارد,4,26,"['استاد', 'محمدی', 'رفتار', 'بسیار', 'محترمانه\u200cای', 'دانشجو', 'دارد']"
27,27,دانلود فیلم Manchester by the sea,5,27,"['دانلود', 'فیلم', 'Manchester', 'by', 'the', 'sea']"
28,28,شماره اتاق دکتر شمس فرد چند است؟,2,28,"['شماره', 'اتاق', 'دکتر', 'شمس', 'فرد']"
29,29,زمین چمن دانشگاه کی سانس خالی داره؟,5,29,"['زمین', 'چمن', 'دانشگاه', 'سانس', 'خالی', 'داره']"
30,30,از دانشگاه چطور می تونم برم ترمینال؟,5,30,"['دانشگاه', 'چطور', 'می\u200cتونم', 'برم', 'ترمینال']"
31,31,چرا فضای لابی را از دانشجو ها گرفتید؟,4,31,"['فضای', 'لابی', 'دانشجو\u200cها', 'گرفتید']"
32,32,گروه های علمی کجان ؟,2,32,"['گروه\u200cهای', 'علمی', 'کجان']"
33,33,برخی از صندلی های کلاس ها خرابه، لطفا تعمیر بشه.,4,33,"['برخی', 'صندلی\u200cهای', 'کلاس\u200cها', 'خرابه', 'لطفا', 'تعمیر', 'بشه']"
34,34,امتحان ها کی شروع می شوند؟,1,34,"['امتحان\u200cها', 'شروع', 'می\u200cشوند']"
35,35,توی گلستان اجازه دیدن رتبه معدل در بین ورودی ها رو بدین.,4,35,"['گلستان', 'اجازه', 'دیدن', 'رتبه', 'معدل', 'در', 'بین', 'ورودی\u200cها', 'بدین']"
36,36,حذف و اضافه کی هست,1,36,"['حذف', 'اضافه']"
37,37,نمره درس کارآموزی توی معدل حساب میشه؟,1,37,"['نمره', 'درس', 'کارآموزی', 'معدل', 'حساب', 'میشه']"
38,38,ثبت نام کجاست؟,1,38,"['ثبت', 'نام', 'کجاست']"
39,39,زمان درس افزار خرابه,4,39,"['زمان', 'درس', 'افزار', 'خرابه']"
40,40,چرا گلستان اجازه ی برداشتن این گروه را نمیدهد؟,1,40,"['گلستان', 'اجازه\u200cی', 'برداشتن', 'گروه', 'نمیدهد']"
41,41,معدل لازم برای مشروط نشدن چقدره؟,1,41,"['معدل', 'لازم', 'مشروط', 'نشدن']"
42,42,برای مهمان شدن در دانشگاه دیگر باید چه کاری انجام دهم؟,1,42,"['مهمان', 'شدن', 'در', 'دانشگاه', 'دیگر', 'باید', 'کاری', 'انجام', 'دهم']"
43,43,غذا امروز چیه؟,5,43,"['غذا', 'امروز']"
44,44,کدوم استاد این ترم ریاضی 2 ارایه میده؟,1,44,"['کدوم', 'استاد', 'ترم', 'ریاضی', '۲', 'ارایه', 'میده']"
45,45,لابی کجاست,2,45,"['لابی', 'کجاست']"
46,46,استخر کجاست؟,5,46,"['استخر', 'کجاست']"
47,47,سایت اسکنر دارد؟,3,47,"['سایت', 'اسکنر', 'دارد']"
48,48,درس گرافیک کامپیوتری را ترم بعدی ارائه میدهید؟,1,48,"['درس', 'گرافیک', 'کامپیوتری', 'ترم', 'بعدی', 'ارائه', 'میدهید']"
49,49,رئیس دانشگاه چه کسی است؟,2,49,"['رئیس', 'دانشگاه', 'کسی']"
50,50,هوا خیلی سرد شده است,5,50,"['هوا', 'خیلی', 'سرد', 'شده_است']"
51,51,حداکثر چند کتاب رو می تونم همزمان امانت بگیرم؟,3,51,"['حداکثر', 'کتاب', 'می\u200cتونم', 'همزمان', 'امانت', 'بگیرم']"
52,52,اتاق معاون آموزشی کجاست؟,2,52,"['اتاق', 'معاون', 'آموزشی', 'کجاست']"
53,53,تی ای های فلان درس اصلا خوب نیستند!,4,53,"['تی', 'ای\u200cهای', 'فلان', 'درس', 'اصلا', 'خوب', 'نیستند']"
54,54,لطفا تعداد اساتید درس ریزپردازنده را بیشتر کنید,4,54,"['لطفا', 'تعداد', 'اساتید', 'درس', 'ریزپردازنده', 'بیشتر', 'کنید']"
55,55,دانشگاه سالن دارد؟,5,55,"['دانشگاه', 'سالن', 'دارد']"
56,56,آیا در حذف اظطراری هر چند واحد می خواهیم می توانیم حذف کنیم؟,1,56,"['در', 'حذف', 'اظطراری', 'واحد', 'می\u200cخواهیم', 'می\u200cتوانیم', 'حذف', 'کنیم']"
57,57,سلف غذاخوری کجاست؟,2,57,"['سلف', 'غذاخوری', 'کجاست']"
58,58,می خواهم دانشکده را برای جشن عروسی رزرو کنم.,2,58,"['می\u200cخواهم', 'دانشکده', 'جشن', 'عروسی', 'رزرو', 'کنم']"
59,59,دستشویی کجاست؟,2,59,"['دستشویی', 'کجاست']"
60,60,تعداد انجمن علمی ها خیلی کم است,4,60,"['تعداد', 'انجمن', 'علمی\u200cها', 'خیلی', 'کم']"
61,61,مهلت وارد کردن نمره برای درس رو بیشتر کنین.,4,61,"['مهلت', 'وارد', 'کردن', 'نمره', 'درس', 'بیشتر', 'کنین']"
62,62,شرایط مشروط شدن را نمی,1,62,"['شرایط', 'مشروط', 'شدن', 'نمی']"
63,63,تاریخ انتخاب واحد چه روزی است؟,1,63,"['تاریخ', 'انتخاب', 'واحد', 'روزی']"
64,64,سلف کجاست؟,2,64,"['سلف', 'کجاست']"
65,65,قیمت این پیتزا چند,5,65,"['قیمت', 'پیتزا']"
66,66,آیا کتابخانه کتاب سیگنال اپنهایم رو داره؟,3,66,"['کتابخانه', 'کتاب', 'سیگنال', 'اپنهایم', 'داره']"
67,67,شماره تلفن اتاق دکتر ابراهیمی مقدم چند است؟,2,67,"['شماره', 'تلفن', 'اتاق', 'دکتر', 'ابراهیمی', 'مقدم']"
68,68,کامپیوتر سایت اینتدنت دارد؟,3,68,"['کامپیوتر', 'سایت', 'اینتدنت', 'دارد']"
69,69,یکی از کامپیوتر های سایت مشکل داره.,3,69,"['یکی', 'کامپیوتر\u200cهای', 'سایت', 'مشکل', 'داره']"
70,70,کجا میتوانم جست و جو کنم؟,3,70,"['کجا', 'میتوانم', 'جست', 'جو', 'کنم']"
71,71,آخرین مهلت حذف کی است؟,1,71,"['آخرین', 'مهلت', 'حذف']"
72,72,چقدر جریمه دارم؟,3,72,"['جریمه', 'دارم']"
73,73,کلاس هوش مصنوعی در کدام کلاس برقرار می شود ؟,2,73,"['کلاس', 'هوش', 'مصنوعی', 'در', 'کدام', 'کلاس', 'برقرار', 'می\u200cشود']"
74,74,به استادا بگید تابم کافی بدن واسه امتحان.,4,74,"['استادا', 'بگید', 'تابم', 'کافی', 'بدن', 'واسه', 'امتحان']"
75,75,دانشکده ریاضی چه قدر فاصله دارد؟,2,75,"['دانشکده', 'ریاضی', 'قدر', 'فاصله', 'دارد']"
76,76,معافیت تحصیلی تا کیه؟,5,76,"['معافیت', 'تحصیلی']"
77,77,هاب کجاست؟,2,77,"['هاب', 'کجاست']"
78,78,چارت مهندسی کامپیوتر را بهتر کنید!,4,78,"['چارت', 'مهندسی', 'کامپیوتر', 'بهتر', 'کنید']"
79,79,کنکور ارشد چه تاریخی برگزار میشه؟,5,79,"['کنکور', 'ارشد', 'تاریخی', 'برگزار', 'میشه']"
80,80,سالن داشنگاه رو چجوری میشه گرفت؟,5,80,"['سالن', 'داشنگاه', 'چجوری', 'میشه', 'گرفت']"
81,81,شرایط گرفتن معرفی به استاد چجوریه؟,1,81,"['شرایط', 'گرفتن', 'معرفی', 'استاد', 'چجوریه']"
82,82,پریز های میز ردیف 4 آمفی تئاتر برق ندارند.رسیدگی کنید,4,82,"['پریز\u200cهای', 'میز', 'ردیف', '۴', 'آمفی', 'تئاتر', 'برق', 'ندارند', 'رسیدگی', 'کنید']"
83,83,چگونه میتوان دروس پیشنیاز و همنیاز را با هم برداشت؟,1,83,"['چگونه', 'میتوان', 'دروس', 'پیشنیاز', 'همنیاز', 'هم', 'برداشت']"
84,84,یوزر نیم سیستم چیه,3,84,"['یوزر', 'نیم', 'سیستم']"
85,85,نمره,1,85,['نمره']
86,86,کیف پول من گمشده. کسی آن را به شما تحویل نداده؟,2,86,"['کیف', 'پول', 'گمشده', 'کسی', 'شما', 'تحویل', 'نداده']"
87,87,خود اساتید نظرسنجی را می بینند؟,1,87,"['خود', 'اساتید', 'نظرسنجی', 'می\u200cبینند']"
88,88,اساتید خیلی سختگیراند,4,88,"['اساتید', 'خیلی', 'سختگیراند']"
89,89,رییس کل دانشگاه رو کجا می شود دید؟,2,89,"['رییس', 'کل', 'دانشگاه', 'کجا', 'می\u200cشود', 'دید']"
90,90,میانگین h-index اساتید دانشکده چقدر است؟,5,90,"['میانگین', 'h-index', 'اساتید', 'دانشکده']"
91,91,چگونه جریمه نخورم؟,3,91,"['چگونه', 'جریمه', 'نخورم']"
92,92,سطح امتحانات با سطح آموزش تناسب ندارد.,4,92,"['سطح', 'امتحانات', 'سطح', 'آموزش', 'تناسب', 'ندارد']"
93,93,محل تشکیل کلاس مبانی کامپیوتر کجا است؟,2,93,"['محل', 'تشکیل', 'کلاس', 'مبانی', 'کامپیوتر', 'کجا']"
94,94,چرا برای دانشجویان پارکینگ مناسب تعیبیه نشده است؟,5,94,"['دانشجویان', 'پارکینگ', 'مناسب', 'تعیبیه', 'نشده_است']"
95,95,نزدیکترین مکان به سلف غذا خوری چیست؟,2,95,"['نزدیکترین', 'مکان', 'سلف', 'غذا', 'خوری', 'چیست']"
96,96,معدل من در 15 درصد ممتاز می باشد ؟,1,96,"['معدل', 'در', '۱۵', 'درصد', 'ممتاز', 'می\u200cباشد']"
97,97,کامپیوتر های سایت اوبونتو نصب دارن؟,3,97,"['کامپیوتر\u200cهای', 'سایت', 'اوبونتو', 'نصب', 'دارن']"
98,98,اتاق معاون آموزشی کدام طبقه است؟,2,98,"['اتاق', 'معاون', 'آموزشی', 'کدام', 'طبقه']"
99,99,اتوبوس خوابگاه چه ساعتی میاد؟,2,99,"['اتوبوس', 'خوابگاه', 'ساعتی', 'میاد']"
100,100,چرا زمان بعضی کلاس ها بیشتر از 75 دقیقه است ؟,4,100,"['زمان', 'بعضی', 'کلاس\u200cها', 'بیشتر', '۷۵', 'دقیقه']"
101,101,تنوع محصولات بوفه را بیشتر کنید.,4,101,"['تنوع', 'محصولات', 'بوفه', 'بیشتر', 'کنید']"
102,102,سطح تمرینات درس هوش مصنوعی بالاست.,4,102,"['سطح', 'تمرینات', 'درس', 'هوش', 'مصنوعی', 'بالاست']"
103,103,برای هر کلاس تعدادی سیم رابط قرار بدید.,4,103,"['کلاس', 'تعدادی', 'سیم', 'رابط', 'قرار', 'بدید']"
104,104,چرا برای فرجه و زمان استراحت دانشکده های مهندسی درست برنامه ریزی نشده است؟,5,104,"['فرجه', 'زمان', 'استراحت', 'دانشکده\u200cهای', 'مهندسی', 'درست', 'برنامه', 'ریزی', 'نشده_است']"
105,105,سایت کجاس ؟,2,105,"['سایت', 'کجاس']"
106,106,انجمن های دانشکده چی هستند؟,2,106,"['انجمن\u200cهای', 'دانشکده', 'چی', 'هستند']"
107,107,ممنون بابت سرویس دانشگاه.,4,107,"['ممنون', 'بابت', 'سرویس', 'دانشگاه']"
108,108,این کتاب را چه کسی برده است؟,3,108,"['کتاب', 'کسی', 'برده_است']"
109,109,اموزش فیزیک چندده؟,5,109,"['اموزش', 'فیزیک', 'چندده']"
110,110,کتابخانه مختلط است؟,3,110,"['کتابخانه', 'مختلط']"
111,111,تسهیلات استعداد درخشان چیست؟,1,111,"['تسهیلات', 'استعداد', 'درخشان', 'چیست']"
112,112,شرایط برداشتن رشته فرعی چیست؟,1,112,"['شرایط', 'برداشتن', 'رشته', 'فرعی', 'چیست']"
113,113,سرویس دانشگاه کجاست؟,5,113,"['سرویس', 'دانشگاه', 'کجاست']"
114,114,ماشین قهوه دانشکده درست کار نمی کنه.,4,114,"['ماشین', 'قهوه', 'دانشکده', 'درست', 'کار', 'نمی\u200cکنه']"
115,115,حداقل نمره لازم برا قبولی در یک درس 3 واحدی چیست ؟,1,115,"['حداقل', 'نمره', 'لازم', 'برا', 'قبولی', 'در', 'یک', 'درس', '۳', 'واحدی', 'چیست']"
116,116,ساعات حضور دکتر شاملی در دفترشان به چه صورت است؟,2,116,"['ساعات', 'حضور', 'دکتر', 'شاملی', 'در', 'دفترشان', 'صورت']"
117,117,ساعت درس افزار رو درست کنید.,4,117,"['ساعت', 'درس', 'افزار', 'درست', 'کنید']"
118,118,آموزش کجاست؟,1,118,"['آموزش', 'کجاست']"
119,119,حذف و اضافه چند واحد میتوان تغییر داد؟,1,119,"['حذف', 'اضافه', 'واحد', 'میتوان', 'تغییر', 'داد']"
120,120,حذف و اضافه تا کیه؟,1,120,"['حذف', 'اضافه']"
121,121,از کجا میتونم گواهی اشتغال به تحصیل بگیرم؟,1,121,"['کجا', 'میتونم', 'گواهی', 'اشتغال', 'تحصیل', 'بگیرم']"
122,122,چه بازه ای از معدل الف حساب میشود ؟,1,122,"['بازه\u200cای', 'معدل', 'الف', 'حساب', 'میشود']"
123,123,آیا امکان رزرو کتاب وجود دارد ؟,3,123,"['امکان', 'رزرو', 'کتاب', 'وجود', 'دارد']"
124,124,از کجا میتونم کتابای الکترونیک بگیرم ؟,3,124,"['کجا', 'میتونم', 'کتابای', 'الکترونیک', 'بگیرم']"
125,125,مسئول حراست ادب را رعایت نمیکند.,4,125,"['مسئول', 'حراست', 'ادب', 'رعایت', 'نمیکند']"
126,126,لیست دروس ارائه شده ترم آتی را از کجا میتوانم ببینم؟,1,126,"['لیست', 'دروس', 'ارائه', 'شده', 'ترم', 'آتی', 'کجا', 'میتوانم', 'ببینم']"
127,127,با اتوبوس میشه رفت تجریش؟,5,127,"['اتوبوس', 'میشه', 'رفت', 'تجریش']"
128,128,کجا میشه نشست ؟,2,128,"['کجا', 'میشه', 'نشست']"
129,129,سیستم های سایت برای پردازش های سنگین جوابگو هست؟,3,129,"['سیستم\u200cهای', 'سایت', 'پردازش\u200cهای', 'سنگین', 'جوابگو']"
130,130,مدارک مورد نیاز برای گرفتن وام دانشجویی؟,2,130,"['مدارک', 'مورد', 'نیاز', 'گرفتن', 'وام', 'دانشجویی']"
131,131,اتاق رییس دانشکده کدوم طبقه است؟,2,131,"['اتاق', 'رییس', 'دانشکده', 'کدوم', 'طبقه']"
132,132,میشه سیستم عامل رایانه ی سایت رو عوض کنیم؟,3,132,"['میشه', 'سیستم', 'عامل', 'رایانه\u200cی', 'سایت', 'عوض', 'کنیم']"
133,133,ترم اول هستم اطلاعاتی ندارم.,1,133,"['ترم', 'اول', 'هستم', 'اطلاعاتی', 'ندارم']"
134,134,سایت باز است؟,3,134,"['سایت', 'باز']"
135,135,قدیمی ترین چاپ مربوط به کدام کتاب است؟,3,135,"['قدیمی\u200cترین', 'چاپ', 'مربوط', 'کدام', 'کتاب']"
136,136,تعداد غیبت مجاز برای هر درس چقدره؟,1,136,"['تعداد', 'غیبت', 'مجاز', 'درس']"
137,137,جشن روز دانشجو کجا برگزار میشه؟,2,137,"['جشن', 'روز', 'دانشجو', 'کجا', 'برگزار', 'میشه']"
138,138,اتاق خواب داریم ؟,2,138,"['اتاق', 'خواب', 'داریم']"
139,139,آمفی تئاتر کجاست؟,2,139,"['آمفی', 'تئاتر', 'کجاست']"
140,140,به فرجه نیاز داریم,4,140,"['فرجه', 'نیاز', 'داریم']"
141,141,کلاسا کی شروع میشه؟,1,141,"['کلاسا', 'شروع', 'میشه']"
142,142,ناهار خوری از چه ساعتی تا چه ساعتی سرویس دهی دارد؟,2,142,"['ناهار', 'خوری', 'ساعتی', 'ساعتی', 'سرویس', 'دهی', 'دارد']"
143,143,سلف کجاست؟,2,143,"['سلف', 'کجاست']"
144,144,حداقل نمره برای عدم مشروطی چقدر است ؟,1,144,"['حداقل', 'نمره', 'عدم', 'مشروطی']"
145,145,لطفا برای امفی تاتر سیستم گرمایشی بذارید.,4,145,"['لطفا', 'امفی', 'تاتر', 'سیستم', 'گرمایشی', 'بذارید']"
146,146,سایت دانشگاه کنده,4,146,"['سایت', 'دانشگاه', 'کنده']"
147,147,در حذف و اضافه اول ترم چند واحد میتوان حذف کرد؟,1,147,"['در', 'حذف', 'اضافه', 'اول', 'ترم', 'واحد', 'میتوان', 'حذف', 'کرد']"
148,148,تعداد ون هایی که به دانشکده میان رو بیشتر کنید,4,148,"['تعداد', 'ون', 'هایی', 'که', 'دانشکده', 'میان', 'بیشتر', 'کنید']"
149,149,میخوام با اساتید صحبت کنم.,2,149,"['میخوام', 'اساتید', 'صحبت', 'کنم']"
150,150,کدام اساتید دانشکده هیئت علمی هستند؟,2,150,"['کدام', 'اساتید', 'دانشکده', 'هیئت', 'علمی', 'هستند']"
151,151,پایین امدن سطح اب دریاها چه مشکلاتی را ایجاد میکند؟,5,151,"['پایین', 'امدن', 'سطح', 'اب', 'دریاها', 'مشکلاتی', 'ایجاد', 'میکند']"
152,152,محل غذاخوردن در خوابگاه کجا می باشد؟,2,152,"['محل', 'غذاخوردن', 'در', 'خوابگاه', 'کجا', 'می\u200cباشد']"
153,153,شماره صندلی های امتحانات را کجا نوشتند؟,1,153,"['شماره', 'صندلی\u200cهای', 'امتحانات', 'کجا', 'نوشتند']"
154,154,اتاق اساتید کجاست؟,2,154,"['اتاق', 'اساتید', 'کجاست']"
155,155,به کامپیوتری نیاز دارم که رم بیشتر از 16 گیگابایت داشته باشد.,3,155,"['کامپیوتری', 'نیاز', 'دارم', 'که', 'رم', 'بیشتر', '۱۶', 'گیگابایت', 'داشته_باشد']"
156,156,دفتر ریاست کل کجاست؟,2,156,"['دفتر', 'ریاست', 'کل', 'کجاست']"
157,157,نظرسنحی اساتید دارای کمبود سوال های اساسی است.,4,157,"['نظرسنحی', 'اساتید', 'دارای', 'کمبود', 'سوال\u200cهای', 'اساسی']"
158,158,کتاب CLRS موجود هست؟,3,158,"['کتاب', 'CLRS', 'موجود']"
159,159,کتاب را تا کی میتوانم تحویل بدهم؟,3,159,"['کتاب', 'میتوانم', 'تحویل', 'بدهم']"
160,160,مهلت حذف تا کیه؟,1,160,"['مهلت', 'حذف']"
161,161,ظرفیت محدود برای بعضی از کلاس ها,4,161,"['ظرفیت', 'محدود', 'بعضی', 'کلاس\u200cها']"
162,162,ارور تایپ ارور به چه معناست؟,5,162,"['ارور', 'تایپ', 'ارور', 'معناست']"
163,163,آیا در ایام کرونا اجازه نشستن پشت دو کامپیوتر بقل هم را داریم؟,3,163,"['در', 'ایام', 'کرونا', 'اجازه', 'نشستن', 'پشت', 'دو', 'کامپیوتر', 'بقل', 'هم', 'داریم']"
164,164,این یه گفته خبری است برای تست تو ای کیوسک.,5,164,"['یه', 'گفته', 'خبری', 'تست', 'ای', 'کیوسک']"
165,165,در ایام کرونا از چه ساعتی تا چه ساعتی باز هستید؟,3,165,"['در', 'ایام', 'کرونا', 'ساعتی', 'ساعتی', 'باز', 'هستید']"
166,166,برای حذف تک درس چه کار هایی باید انجام بدم؟,1,166,"['حذف', 'تک', 'درس', 'کار', 'هایی', 'باید', 'انجام', 'بدم']"
167,167,کدام در دانشگاه به دانشکده نزدیکتر می باشد؟,2,167,"['کدام', 'در', 'دانشگاه', 'دانشکده', 'نزدیکتر', 'می\u200cباشد']"
168,168,آخرین ویرایش کتاب clrs چند است؟,3,168,"['آخرین', 'ویرایش', 'کتاب', 'clrs']"
169,169,چه تبعاتی دارد اگر نظرسنجی اساتید را انجام ندهم؟,1,169,"['تبعاتی', 'دارد', 'اگر', 'نظرسنجی', 'اساتید', 'انجام', 'ندهم']"
170,170,استاد محمدی اصلا محترم نیست,4,170,"['استاد', 'محمدی', 'اصلا', 'محترم']"
171,171,سلف روز های پنجشنبه هم غذا میدهد,5,171,"['سلف', 'روز\u200cهای', 'پنجشنبه', 'هم', 'غذا', 'میدهد']"
172,172,نمره دروس افتاده هم در معدل تاثیر میگذارد؟,1,172,"['نمره', 'دروس', 'افتاده', 'هم', 'در', 'معدل', 'تاثیر', 'میگذارد']"
173,173,در ترم تابستان چه درس هایی ارائه میشود؟,1,173,"['در', 'ترم', 'تابستان', 'درس', 'هایی', 'ارائه', 'میشود']"
174,174,اطلاعات استاد های دنیا از کجا پیدا کنم,5,174,"['اطلاعات', 'استاد\u200cهای', 'دنیا', 'کجا', 'پیدا', 'کنم']"
175,175,ایا می توانم با استفاده از کامپیوتر سایت فیلم اموزشی انلاین ببینم ؟,3,175,"['ایا', 'می\u200cتوانم', 'استفاده', 'کامپیوتر', 'سایت', 'فیلم', 'اموزشی', 'انلاین', 'ببینم']"
176,176,شرایط معرفی به استاد چیست؟,1,176,"['شرایط', 'معرفی', 'استاد', 'چیست']"
177,177,رم این سیستم چنده؟,3,177,"['رم', 'سیستم', 'چنده']"
178,178,درِ کلاس 204 گیر کرده و باز نمیشود.,4,178,"['در', 'کلاس', '۲۰۴', 'گیر', 'کرده', 'باز', 'نمیشود']"
179,179,کتابخانه تا چه زمانی باز است,3,179,"['کتابخانه', 'زمانی', 'باز']"
180,180,لطفا نرم افزار های مفید را روی سرور قرار دهید.,4,180,"['لطفا', 'نرم', 'افزار\u200cهای', 'مفید', 'روی', 'سرور', 'قرار', 'دهید']"
181,181,سقف تعداد واحد مجاز هر ترم چند واحد میباشد؟,1,181,"['سقف', 'تعداد', 'واحد', 'مجاز', 'ترم', 'واحد', 'میباشد']"
182,182,شرایط کار در کتابخانه چیست؟,3,182,"['شرایط', 'کار', 'در', 'کتابخانه', 'چیست']"
183,183,کاپشنم رو توی دانشکده گم کردم. کجا می ذارنش؟,2,183,"['کاپشنم', 'دانشکده', 'گم', 'کردم', 'کجا', 'می\u200cذارنش']"
184,184,چرا وسط لابی کلاس زدن؟,5,184,"['وسط', 'لابی', 'کلاس', 'زدن']"
185,185,چگونه برنامه بنویسم؟,5,185,"['چگونه', 'برنامه', 'بنویسم']"
186,186,سرویس بهداشتی دانشکده کجا است؟,2,186,"['سرویس', 'بهداشتی', 'دانشکده', 'کجا']"
187,187,مسئول آموزش دانشکده کامپیوتر چه کسی است؟,2,187,"['مسئول', 'آموزش', 'دانشکده', 'کامپیوتر', 'کسی']"
188,188,کاری کارکنان آموزش تا کی هستند؟,2,188,"['کاری', 'کارکنان', 'آموزش', 'هستند']"
189,189,چه لپ تاپی خوبه بگیرم؟,5,189,"['لپ', 'تاپی', 'خوبه', 'بگیرم']"
190,190,در چه سامانه ای باید ثبت نام کنم؟,1,190,"['در', 'سامانه\u200cای', 'باید', 'ثبت', 'نام', 'کنم']"
191,191,شرایط حذف ترم چیه؟,1,191,"['شرایط', 'حذف', 'ترم']"
192,192,چرا لابی دانشکده رو اینکاری کردید؟,4,192,"['لابی', 'دانشکده', 'اینکاری', 'کردید']"
193,193,سختگیری های بی,4,193,"['سختگیری\u200cهای', 'بی']"
194,194,کتابخانه,3,194,['کتابخانه']
195,195,فرجه قبل امتحانات چند روز است؟,1,195,"['فرجه', 'قبل', 'امتحانات', 'روز']"
196,196,در مجموع چند واحد عمومی باید پاس کنیم؟,1,196,"['در', 'مجموع', 'واحد', 'عمومی', 'باید', 'پاس', 'کنیم']"
197,197,روز دانشجو چه روزی است؟,5,197,"['روز', 'دانشجو', 'روزی']"
198,198,برای ناهار کجاها میشود رفت؟,5,198,"['ناهار', 'کجاها', 'میشود', 'رفت']"
199,199,امروز چه روزی از ماه می باشد؟,5,199,"['امروز', 'روزی', 'ماه', 'می\u200cباشد']"
200,200,رمز مودم دانشکده چیست؟,2,200,"['رمز', 'مودم', 'دانشکده', 'چیست']"
201,201,کدام استاد بهتر درس میدهد؟,5,201,"['کدام', 'استاد', 'بهتر', 'درس', 'میدهد']"
202,202,چرا هیچ راه ارتباطی به جز ایمیل با بعضی اساتید وجود ندارد؟,1,202,"['هیچ', 'راه', 'ارتباطی', 'جز', 'ایمیل', 'بعضی', 'اساتید', 'وجود', 'ندارد']"
203,203,سقف زمانی نگه داشتن کتاب چقدر است ؟,3,203,"['سقف', 'زمانی', 'نگه', 'داشتن', 'کتاب']"
204,204,میتونم لپ تاپمو با کامپیوترای سایت شبکه کنم؟,3,204,"['میتونم', 'لپ', 'تاپمو', 'کامپیوترای', 'سایت', 'شبکه', 'کنم']"
205,205,مرا برای اکانت گرفتن روی سرور دانشکده راهنمایی کنید.,3,205,"['مرا', 'اکانت', 'گرفتن', 'روی', 'سرور', 'دانشکده', 'راهنمایی', 'کنید']"
206,206,غذا خیلی خوشمزه بود.,5,206,"['غذا', 'خیلی', 'خوشمزه', 'بود']"
