,id,query,tokens,prediction
139,139,چند ترم فرصت تحصیل داریم؟,"['ترم', 'فرصت', 'تحصیل', 'داریم']",1
140,140,ارسال کتاب ها به صورت پستی امکانش هست؟,"['ارسال', 'کتاب\u200cها', 'صورت', 'پستی', 'امکانش']",3
141,141,دیجی کالا چند سال است افتتاح شده؟,"['دیجی', 'کالا', 'سال', 'افتتاح', 'شده']",5
142,142,وبسایت کتابخونه چه آدرسیه؟,"['وبسایت', 'کتابخونه', 'آدرسیه']",3
143,143,دستگیره اتاق 104 خیلی سخت باز می شود.,"['دستگیره', 'اتاق', '۱۰۴', 'خیلی', 'سخت', 'باز', 'می\u200cشود']",4
144,144,اتاق جلسات کجا است,"['اتاق', 'جلسات', 'کجا']",2
145,145,چطور از اینجا برم میدون ونک؟,"['چطور', 'اینجا', 'برم', 'میدون', 'ونک']",1
146,146,درخواست افزایش سنوات باید به کجا بدهیم,"['درخواست', 'افزایش', 'سنوات', 'باید', 'کجا', 'بدهیم']",1
147,147,این ترم تابستون درس تخصصی ارائه میشه ؟,"['ترم', 'تابستون', 'درس', 'تخصصی', 'ارائه', 'میشه']",1
148,148,تاریخ تاسیس دانشگاه؟,"['تاریخ', 'تاسیس', 'دانشگاه']",2
149,149,حداکثر حجم اینترنت یک ماه چقدر هست؟,"['حداکثر', 'حجم', 'اینترنت', 'یک', 'ماه']",4
150,150,فعال شدن اتشفشان کوه دماوند,"['فعال', 'شدن', 'اتشفشان', 'کوه', 'دماوند']",5
151,151,سیلاب در جنوب ایران خسارت وارد کرد,"['سیلاب', 'در', 'جنوب', 'ایران', 'خسارت', 'وارد', 'کرد']",5
152,152,دانشگاه روز های جمعه باز است ؟,"['دانشگاه', 'روز\u200cهای', 'جمعه', 'باز']",2
153,153,چه شرکت هایی برای مدرسه تکمیلی در دانشکده درس ارائه می دهند؟,"['شرکت', 'هایی', 'مدرسه', 'تکمیلی', 'در', 'دانشکده', 'درس', 'ارائه', 'می\u200cدهند']",1
154,154,چگونه برنامه ی امتحان ها را ببینم؟,"['چگونه', 'برنامه\u200cی', 'امتحان\u200cها', 'ببینم']",1
155,155,چطوری توی رشته مهندسی کامپیوتر موفق بشم؟,"['چطوری', 'رشته', 'مهندسی', 'کامپیوتر', 'موفق', 'بشم']",5
156,156,فلان استاد کلاس را ضبط نمیکند,"['فلان', 'استاد', 'کلاس', 'ضبط', 'نمیکند']",4
157,157,به خود اساتید هم نظرسنجی ها را نشان میدهید؟,"['خود', 'اساتید', 'هم', 'نظرسنجی\u200cها', 'نشان', 'میدهید']",1
158,158,برنامه تحصیلی دانشگاه تهران چگونه است؟,"['برنامه', 'تحصیلی', 'دانشگاه', 'تهران', 'چگونه']",5
159,159,کلاس ۰۰۳ کجاست؟,"['کلاس', '۰۰۳', 'کجاست']",2
160,160,مسئول تیم ACM دانشکده کیه؟,"['مسئول', 'تیم', 'ACM', 'دانشکده']",2
161,161,میتوانم کتاب را نیاورم؟,"['میتوانم', 'کتاب', 'نیاورم']",3
162,162,مدرسه تکمیلی جزو واحد های اختیاری است؟,"['مدرسه', 'تکمیلی', 'جزو', 'واحد\u200cهای', 'اختیاری']",1
163,163,تو سایت می شود غذا خورد؟,"['سایت', 'می\u200cشود', 'غذا', 'خورد']",2
164,164,روزای تعطیل دانشکده بازه؟,"['روزای', 'تعطیل', 'دانشکده', 'بازه']",2
165,165,در صورت فراموشی رمز عبور در سامانه گلستان چه باید کرد؟,"['در', 'صورت', 'فراموشی', 'رمز', 'عبور', 'در', 'سامانه', 'گلستان', 'باید', 'کرد']",1
166,166,توزیع های bsd رو باید از نت بگیرم یا یه سروری تو دانشکده راتش ؟,"['توزیع\u200cهای', 'bsd', 'باید', 'نت', 'بگیرم', 'یه', 'سروری', 'دانشکده', 'راتش']",3
167,167,بوفه ی حقوق کجاست؟,"['بوفه\u200cی', 'حقوق', 'کجاست']",2
168,168,چند واحد می تونم بردارم؟,"['واحد', 'می\u200cتونم', 'بردارم']",1
169,169,کاش انتخاب واحد دانشجویی که واحد های کمتری داره رو برای اخذ یک درس اولویت بده,"['کاش', 'انتخاب', 'واحد', 'دانشجویی', 'که', 'واحد\u200cهای', 'کمتری', 'داره', 'اخذ', 'یک', 'درس', 'اولویت', 'بده']",1
170,170,تعداد واحد عملی که در ترم تابستان می توان اخذ کرد؟,"['تعداد', 'واحد', 'عملی', 'که', 'در', 'ترم', 'تابستان', 'می\u200cتوان', 'اخذ', 'کرد']",1
171,171,بوفه کجاست,"['بوفه', 'کجاست']",2
172,172,امروز چندم ماه است؟,"['امروز', 'چندم', 'ماه']",5
173,173,بعضی از اساتید بسیار مغرضانه عمل می کنند.,"['بعضی', 'اساتید', 'بسیار', 'مغرضانه', 'عمل', 'می\u200cکنند']",4
174,174,در ایام امتحانات تعداد تمارین و پروژه ها را کمتر کنید,"['در', 'ایام', 'امتحانات', 'تعداد', 'تمارین', 'پروژه\u200cها', 'کمتر', 'کنید']",4
175,175,حداکثر چقدر میشه یه کتابی قرض بگیریم؟,"['حداکثر', 'میشه', 'یه', 'کتابی', 'قرض', 'بگیریم']",3
176,176,آیا پس از حذف اخذ دوباره درس پولی میشود؟,"['پس', 'حذف', 'اخذ', 'دوباره', 'درس', 'پولی', 'میشود']",1
177,177,چرا درسهای عمومی مسخررو باید پاس کنیم؟,"['درسهای', 'عمومی', 'مسخررو', 'باید', 'پاس', 'کنیم']",1
178,178,در صورت الف شدن معدل چه اتفاقی میافتد؟,"['در', 'صورت', 'الف', 'شدن', 'معدل', 'اتفاقی', 'میافتد']",1
179,179,در حذف اضطراری چند درس حداکثر میتوان حذف کرد؟,"['در', 'حذف', 'اضطراری', 'درس', 'حداکثر', 'میتوان', 'حذف', 'کرد']",1
180,180,تاریخ امروز؟,"['تاریخ', 'امروز']",5
181,181,از قیمت ماشین چه خبر؟,"['قیمت', 'ماشین', 'خبر']",5
182,182,بسیاری از دروس دانشگاه به صورت کاربردی ارائه نمیشوند,"['بسیاری', 'دروس', 'دانشگاه', 'صورت', 'کاربردی', 'ارائه', 'نمیشوند']",4
183,183,ممکن است شرایط برگزاری امتحان را در سامانه قرار دهید؟,"['ممکن', 'شرایط', 'برگزاری', 'امتحان', 'در', 'سامانه', 'قرار', 'دهید']",4
184,184,چه ساعاتی می توانم از سالن مطالعه استفاده کنم؟,"['ساعاتی', 'می\u200cتوانم', 'سالن', 'مطالعه', 'استفاده', 'کنم']",3
185,185,واحدام به حد نصاب نرسیده باید چی کار کنم؟,"['واحدام', 'حد', 'نصاب', 'نرسیده', 'باید', 'چی', 'کار', 'کنم']",1
186,186,لیست دروس برای فراغت از تحصیل رو کجا میتونم ببینم؟,"['لیست', 'دروس', 'فراغت', 'تحصیل', 'کجا', 'میتونم', 'ببینم']",1
187,187,سطح امتحان فلان استاد از سطح تدریسش خیلی بالاتره,"['سطح', 'امتحان', 'فلان', 'استاد', 'سطح', 'تدریسش', 'خیلی', 'بالاتره']",4
188,188,مبلغ جریمه ی دیرکرد برگرداندن کتابها چه قدر است؟,"['مبلغ', 'جریمه\u200cی', 'دیرکرد', 'برگرداندن', 'کتابها', 'قدر']",3
189,189,شرایط موندن تو فضای مطالعه چجوریاست؟,"['شرایط', 'موندن', 'فضای', 'مطالعه', 'چجوریاست']",3
190,190,سرویس بهداشتی نظافت مناسبی ندارد,"['سرویس', 'بهداشتی', 'نظافت', 'مناسبی', 'ندارد']",4
191,191,چگونه برنامه نویس شوم؟,"['چگونه', 'برنامه', 'نویس', 'شوم']",5
192,192,سالن ورزشی کجاست؟,"['سالن', 'ورزشی', 'کجاست']",2
193,193,آموزش برق کجا است؟,"['آموزش', 'برق', 'کجا']",2
194,194,کلاس 102 کجاست,"['کلاس', '۱۰۲', 'کجاست']",2
195,195,توزیع نامناسب نمره توسط برخی اساتید و افزایش فشار به دانشجویان.,"['توزیع', 'نامناسب', 'نمره', 'توسط', 'برخی', 'اساتید', 'افزایش', 'فشار', 'دانشجویان']",4
196,196,دانشجو درک نمی شود.,"['دانشجو', 'درک', 'نمی\u200cشود']",4
197,197,رمز عبورسایت را فراموش کرده,"['رمز', 'عبورسایت', 'فراموش', 'کرده']",3
198,198,چگونه می توانم به لیست کتاب های موجود دسترسی داشته باشم؟,"['چگونه', 'می\u200cتوانم', 'لیست', 'کتاب\u200cهای', 'موجود', 'دسترسی', 'داشته_باشم']",3
199,199,مهمان ها چند روز امکان ماندن در خوابگاه دارند؟,"['مهمان\u200cها', 'روز', 'امکان', 'ماندن', 'در', 'خوابگاه', 'دارند']",5
200,200,در دانشکده محیطی برای بازی قرار دهید,"['در', 'دانشکده', 'محیطی', 'بازی', 'قرار', 'دهید']",4
201,201,مهارت های مورد نیاز یک توسعه دهنده ی بک اند چیست؟,"['مهارت\u200cهای', 'مورد', 'نیاز', 'یک', 'توسعه', 'دهنده\u200cی', 'بک', 'اند', 'چیست']",5
202,202,چرا اینقدر سرعت اینترنت دانشکده پایین است؟,"['اینقدر', 'سرعت', 'اینترنت', 'دانشکده', 'پایین']",4
203,203,آیا می توان استاد راهنما را عوض کرد؟,"['می\u200cتوان', 'استاد', 'راهنما', 'عوض', 'کرد']",1
204,204,هوا فردا چجوریه؟,"['هوا', 'فردا', 'چجوریه']",5
205,205,پیش نیاز های درس هوش مصنوعی چیه؟,"['پیش', 'نیاز\u200cهای', 'درس', 'هوش', 'مصنوعی']",1
206,206,برای ثبت نام باید کجا برم؟,"['ثبت', 'نام', 'باید', 'کجا', 'برم']",1
207,207,آیا امکان برداشتن درس از دانشکده برق وجود دارد ؟,"['امکان', 'برداشتن', 'درس', 'دانشکده', 'برق', 'وجود', 'دارد']",1
208,208,حذف و اضافه همه ورودی ها با همن ؟,"['حذف', 'اضافه', 'همه', 'ورودی\u200cها', 'همن']",1
209,209,پایان کلاس ها کی هست؟,"['پایان', 'کلاس\u200cها']",4
210,210,این کتابخونه با کتابخونه مرکزی در ارتباط هست؟,"['کتابخونه', 'کتابخونه', 'مرکزی', 'در', 'ارتباط']",3
211,211,نظرسنجی اساتید کی شروع می شود؟,"['نظرسنجی', 'اساتید', 'شروع', 'می\u200cشود']",1
212,212,سلف از چه ساعتی تا چه ساعتی باز است؟,"['سلف', 'ساعتی', 'ساعتی', 'باز']",2
213,213,چرا امکان انتقاد از سیستم حکومتی فراهم نیست ؟,"['امکان', 'انتقاد', 'سیستم', 'حکومتی', 'فراهم']",3
